DATE,ADVANCE,DECLINE,UP VOL,DN VOL,DJIA,NYSE,TREND,TREND,A-D,SUMMATION,OSC UNCH'D,OSC TO 0,UV-DV,TREND,TREND,UV-DV,SUMMATION,OSC UNCH'D,OSC TO 0,10%,5%,PRICE,UNCHANGED
1-Oct-18,1215,1794,1840495,1435222,26651.21,-579,-93.03,-12.98,-80.04,1590.55,-173,1428,405273,54042,78571,-24529,1006466,29513,520088,26305.08,26016.95,288.13,26593.21
2-Oct-18,1178,1801,1519162,1763041,26773.94,-623,-146.02,-43.48,-102.54,1488.01,-249,1802,-243879,24250,62448,-38198,968268,-13948,750019,26351.97,26054.8,297.17,26649.14
3-Oct-18,1475,1527,2155495,1280275,26828.39,-52,-136.62,-43.91,-92.71,1395.3,-229,1625,875220,109347,103087,6260,974528,115607,-9594,26399.61,26093.48,306.13,26705.74
4-Oct-18,625,2417,1184890,2211604,26627.48,-1792,-302.16,-131.31,-170.84,1224.46,-473,2944,-1026714,-4259,46597,-50856,923672,-55115,962005,26422.4,26120.18,302.22,26724.61
5-Oct-18,990,2018,1207842,2040441,26447.05,-1028,-374.74,-176.15,-198.59,1025.86,-573,3399,-832599,-87093,2637,-89730,833942,-176823,1617780,26424.86,26136.52,288.34,26713.2
8-Oct-18,1502,1481,2162547,1105940,26486.78,21,-335.17,-166.29,-168.88,856.99,-504,2874,1056607,27277,55336,-28059,805883,-782,560391,26431.05,26154.04,277.02,26708.07
9-Oct-18,1412,1567,1449611,1967253,26430.57,-155,-317.15,-165.73,-151.43,705.56,-469,2560,-517642,-27215,26687,-53902,751981,-81117,996917,26431.01,26167.86,263.14,26694.15
10-Oct-18,342,2686,414820,4014316,25598.74,-2344,-519.84,-274.64,-245.2,460.36,-765,4139,-3599496,-384443,-154622,-229821,522161,-614264,3982149,26347.78,26139.41,208.37,26556.15
11-Oct-18,640,2386,819201,4031045,25052.83,-1746,-642.45,-348.21,-294.24,166.12,-937,4948,-3211844,-667183,-307484,-359700,162461,-1026883,6167110,26218.28,26085.08,133.21,26351.49
12-Oct-18,1729,1280,2508607,1388267,25339.99,449,-533.31,-308.35,-224.96,-58.84,-758,3741,1120340,-488431,-236092,-252339,-89877,-740769,4306001,26130.45,26047.82,82.63,26213.09
15-Oct-18,1773,1224,1869521,1344629,25250.55,549,-425.08,-265.48,-159.6,-218.44,-585,2607,524892,-387099,-198043,-189055,-278933,-576154,3204955,26042.46,26007.96,34.51,26076.97
16-Oct-18,2566,464,2775433,595458,25798.42,2102,-172.37,-147.11,-25.26,-243.7,-198,308,2179975,-130391,-79142,-51249,-330182,-181640,843339,26018.06,25997.48,20.58,26038.64
17-Oct-18,1106,1857,1395071,1833292,25706.68,-751,-230.23,-177.3,-52.93,-296.63,-283,775,-438221,-161174,-97096,-64078,-394260,-225252,1056308,25986.92,25982.94,3.98,25990.9
